مشخصه,نام درس,مقطع کلاس,نظری,نوع عملی,نوع عملی,جنسیت,گروه کلاس,باقي مانده,ساعت کلاس,ساعت امتحان,ت امتحان,نام استاد,گروه بندی,,,,
11189,آمارواحتمالات مهندسي,کارشناسي,3,0,--,مختلط, ,0,چهار شنبه19:00 16:45 کلاس a8,08:15,23/10/98,وزيري زهره,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91225,اصول طراحي كامپايلر,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه16:30 14:15 کلاس 301f,08:15,23/10/98,باغباني مجتبي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92021,اصول طراحي كامپايلر,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه11:30 10:45 سه شنبــه14:00 12:30,08:15,23/10/98,باغباني مجتبي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92024,اصول طراحي كامپايلر,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه16:30 14:15 کلاس 302f,08:15,23/10/98,الماسي ساناز,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91244,اصول طراحي كامپايلر,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه10:30 08:15 کلاس 302f,08:15,23/10/98,الماسي ساناز,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91353,اقتصاد مهندسي,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه16:30 14:15 کلاس 117b,13:45,21/10/98,نصيري كاشاني كاظم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91354,اقتصاد مهندسي,کارشناسي,3,0,--,مختلط, ,0,پنج شنـبه10:30 08:15 کلاس 301f,13:45,21/10/98,باقري نخجوانلو بشير,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91347,اقتصاد مهندسي,کارشناسي,3,0,--,مختلط, ,0,پنج شنـبه11:30 10:45 کلاس 116b پنج شنـبه14:00 12:30 کلاس 116b,13:45,21/10/98,باقري نخجوانلو بشير,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92085,اقتصاد مهندسي,کارشناسي,3,0,--,مختلط, ,0,پنج شنـبه11:30 10:45 کلاس 116b پنج شنـبه14:00 12:30 کلاس 116b,13:45,21/10/98,باقري نخجوانلو بشير,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91290,برنامه سازي پيشرفته,کارشناسي,3,0,--,مختلط, ,6,چهار شنبه11:30 10:45 کلاس 303f چهار شنبه14:00 12:30 کلاس 303f,10:45,14/10/98,صبوحي هادي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91272,برنامه سازي پيشرفته,کارشناسي,3,0,--,مختلط, ,10,شنبـــــه10:30 08:15 کلاس 303f,08:15,14/10/98,فتحي رضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91273,برنامه سازي پيشرفته,کارشناسي,3,0,--,مختلط, ,8,شنبـــــه16:30 14:15 کلاس 303f,08:15,14/10/98,فتحي رضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92043,برنامه سازي پيشرفته,کارشناسي,3,0,--,مختلط, ,7,دوشـــنبه11:30 10:45 کلاس 303f دوشـــنبه14:00 12:30 کلاس 303f,08:15,14/10/98,فتحي رضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91276,برنامه سازي پيشرفته,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه16:30 14:15 کلاس 302f,10:45,14/10/98,اسبقي شبنم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91282,برنامه سازي پيشرفته,کارشناسي,3,0,--,مختلط, ,15,سه شنبــه11:30 10:45 کلاس 116b سه شنبــه14:00 12:30 کلاس 116b,08:15,14/10/98,شجاعي رشيد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92051,برنامه سازي پيشرفته,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه10:30 08:15 کلاس 302f,10:45,14/10/98,علي جماعت علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92008,برنامه سازي پيشرفته,کارشناسي,3,0,--,مختلط, ,22,يکشنـــبه11:30 10:45 کلاس 118b يکشنـــبه14:00 12:30 کلاس 118b,08:15,14/10/98,شجاعي رشيد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92006,برنامه سازي پيشرفته,کارشناسي,3,0,--,مختلط, ,21,يکشنـــبه10:45 08:15 کلاس 118b,08:15,14/10/98,شجاعي رشيد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91222,برنامه سازي پيشرفته,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه11:30 10:45 دوشـــنبه14:00 12:30,10:45,14/10/98,ميرحسيني سيد محسن,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91218,پايگاه داده ها,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه11:30 10:45 کلاس 302f دوشـــنبه14:00 12:30 کلاس 302f,08:15,10/10/98,علي جماعت علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92011,پايگاه داده ها,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه19:00 16:45 کلاس 302f,08:15,10/10/98,علي جماعت علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92046,پايگاه داده ها,کارشناسي,3,0,--,مختلط, ,0,يکشنـــبه16:30 14:15 کلاس 302f,08:15,10/10/98,اسبقي شبنم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92047,پايگاه داده ها,کارشناسي,3,0,--,مختلط, ,0,سه شنبــه11:30 10:45 کلاس 302f سه شنبــه14:00 12:30 کلاس 302f,08:15,10/10/98,اسبقي شبنم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92040,پايگاه داده ها,کارشناسي,3,0,--,مختلط, ,1,شنبـــــه11:30 10:45 کلاس 303f شنبـــــه14:00 12:30 کلاس 303f,08:15,10/10/98,فتحي رضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92041,پايگاه داده ها,کارشناسي,3,0,--,مختلط, ,10,يکشنـــبه10:30 08:15 کلاس 303f,08:15,10/10/98,فتحي رضا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91328,پروژه نرم افزار,کارشناسي,0,3,تخصصي,مختلط, ,0, ,00:00,/ /,اميني امينه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91254,پياده سازي سيستم پايگاه داده,کارشناسي,3,0,--,مختلط, ,1,دوشـــنبه19:00 16:45 کلاس 303f,13:45,16/10/98,فودهء پويا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91255,پياده سازي سيستم پايگاه داده,کارشناسي,3,0,--,مختلط, ,5,چهار شنبه16:30 14:15 کلاس 303f,13:45,16/10/98,فودهء پويا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92025,تحليل و طراحي سيستم ها,کارشناسي,3,0,--,مختلط, ,3,چهار شنبه16:30 14:15,08:15,11/10/98,نحوي بهناز,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92013,تحليل و طراحي سيستم ها,کارشناسي,3,0,--,مختلط, ,2,دوشـــنبه10:30 08:15 کلاس 304f,08:15,11/10/98,نحوي بهناز,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91221,تحليل و طراحي سيستم ها,کارشناسي,3,0,--,مختلط, ,3,دوشـــنبه11:30 10:45 کلاس 304f دوشـــنبه14:00 12:30 کلاس 304f,08:15,11/10/98,نحوي بهناز,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92014,تحليل و طراحي سيستم ها,کارشناسي,3,0,--,مختلط, ,2,دوشـــنبه16:30 14:15 کلاس 304f,08:15,11/10/98,نحوي بهناز,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91227,تحليل و طراحي سيستم ها,کارشناسي,3,0,--,مختلط, ,0,دوشـــنبه10:30 08:15 کلاس 117b,08:15,11/10/98,سيدمسگري شاهين,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92017,روش پژوهش و ارائه,کارشناسي,2,0,--,مختلط, ,0,يکشنـــبه15:45 14:15 کلاس 118b,08:15,24/10/98,سيدمسگري شاهين,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91284,روش پژوهش و ارائه,کارشناسي,2,0,--,مختلط, ,0,دوشـــنبه12:15 10:45 کلاس 117b,08:15,24/10/98,سيدمسگري شاهين,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91285,روش پژوهش و ارائه,کارشناسي,2,0,--,مختلط, ,0,دوشـــنبه15:45 14:15 کلاس 117b,08:15,24/10/98,سيدمسگري شاهين,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92048,روش پژوهش و ارائه,کارشناسي,2,0,--,مختلط, ,3,دوشـــنبه17:30 16:00 کلاس 117b,08:15,24/10/98,سيدمسگري شاهين,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
10094,رياضي عمومي 1,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه10:30 08:15 کلاس 112b,08:15,16/10/98,رضابيك سعيده,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
10098,رياضي عمومي 1,کارشناسي,3,0,--,مختلط, ,12,شنبـــــه10:30 08:15 کلاس 113b,13:45,15/10/98,شجاعي بهروز,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
10104,رياضي عمومي 1,کارشناسي,3,0,--,مختلط, ,0,پنج شنـبه16:30 14:15 کلاس 116b,08:15,16/10/98,مقاصدي محمد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
10105,رياضي عمومي 1,کارشناسي,3,0,--,مختلط, ,0,شنبـــــه11:30 10:45 کلاس a8 شنبـــــه14:00 12:30 کلاس a8,16:00,15/10/98,كيايي سيده ندا,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
10109,رياضي عمومي 1,کارشناسي,3,0,--,مختلط, ,1,دوشـــنبه11:30 10:45 کلاس a1 دوشـــنبه14:00 12:30 کلاس a1,08:15,15/10/98,ارژنگ اصغر,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
